© 2000-2025 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
14-3-3 dimer; p-S216-CDC25C	reaction	p-S216-CDC25C:14-3-3proteincomplex		
ATP; CCNB1:p-T14,T161-CDK1	reaction	ADP; CCNB1:p-T14,Y15,T161-CDK1	WEE1	
ATP; CCNB:CDK1	reaction	ADP; CCNB:p-T14-CDK1	PKMYT1	
ATP; CDC25A	reaction	ADP; p-S124-CDC25A	p-S,3T-CHEK2	
ATP; CDC25A	reaction	ADP; p-S124-CDC25A	p-S317,S345-CHEK1	
ATP; CDC25C	reaction	ADP; p-S216-CDC25C	p-S,3T-CHEK2	
ATP; CDC25C	reaction	ADP; p-S216-CDC25C	p-S317,S345-CHEK1	
ATP; CHEK1	reaction	ADP; p-S317,S345-CHEK1	ATR:ATRIP	
ATP; Cdc45:CDK:DDK:Mcm10:claspin:pre-replicative complex	reaction	ADP; Cdc45:CDK:DDK:Mcm10:Activatedclaspin:pre-replicative complex	ATR:ATRIP	
ATP; DNA DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:K63PolyUb-K14,K16,p-S139-H2AFX,Me2K21-HIST1H4A-Nucleosome:p-5T-MDC1:p-S102-WHSC1:RNF8:Zn2+:SUMO1:p-T4827-HERC2:UBE2N:UBE2V2:RNF168:PIAS4:p-S25,S1778-TP53BP1:p-4S,2T-BRCA1-A complex:CHEK2	reaction	ADP; DNA DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:K63PolyUb-K14,K16,p-S139-H2AFX,Me2K21-HIST1H4A-Nucleosome:p-5T-MDC1:p-S102-WHSC1:RNF8:Zn2+:SUMO1:p-T4827-HERC2:UBE2N:UBE2V2:RNF168:PIAS4:p-S25,S1778-TP53BP1:p-4S,2T-BRCA1-A complex; p-T68-CHEK2	DNA DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:K63PolyUb-K14,K16,p-S139-H2AFX,Me2K21-HIST1H4A-Nucleosome:p-5T-MDC1:p-S102-WHSC1:RNF8:Zn2+:SUMO1:p-T4827-HERC2:UBE2N:UBE2V2:RNF168:PIAS4:p-S25,S1778-TP53BP1:p-4S,2T-BRCA1-A complex:CHEK2	
